City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Cabedelo,BR,2020-09-15 02:43:01,-6.98,-34.83,73.4,94,20,4.7
240,Ayan,RU,2020-09-15 02:43:01,56.45,138.17,59.52,74,100,5.57
241,Longyearbyen,SJ,2020-09-15 02:43:02,78.22,15.64,33.8,94,75,5.82
242,Marsa Matruh,EG,2020-09-15 02:43:02,31.35,27.25,77.0,73,13,7.25
243,Naze,JP,2020-09-15 02:43:02,28.37,129.48,86.0,83,75,6.93
244,Fortuna,US,2020-09-15 02:43:03,40.6,-124.16,66.0,88,1,6.93
245,Alta Gracia,AR,2020-09-15 02:43:03,-31.65,-64.43,55.99,29,0,14.99
246,Assiniboia,CA,2020-09-15 02:42:10,49.63,-105.98,58.96,44,96,8.55
247,Mecca,SA,2020-09-15 02:40:44,21.43,39.83,81.99,48,100,2.46
248,Yamada,JP,2020-09-15 02:43:04,39.47,141.95,67.24,85,98,2.98
249,Faya,SA,2020-09-15 02:43:04,18.39,42.45,66.2,52,25,2.08
250,Port Hardy,CA,2020-09-15 02:43:04,50.7,-127.42,59.0,87,90,3.36
251,Crotone,IT,2020-09-15 02:43:04,39.09,17.12,76.14,63,14,11.34
252,Meybod,IR,2020-09-15 02:43:05,32.25,54.02,62.6,27,0,2.24
253,Aljezur,PT,2020-09-15 02:43:05,37.32,-8.8,66.0,95,2,1.01
254,Mehamn,NO,2020-09-15 02:43:05,71.04,27.85,45.91,79,99,9.66
255,Vilcun,CL,2020-09-15 02:43:06,-38.65,-72.23,48.2,100,20,4.7
256,Elat,IL,2020-09-15 02:43:06,29.56,34.95,80.6,57,0,12.75
257,Plettenberg Bay,ZA,2020-09-15 02:43:07,-34.05,23.37,50.0,74,98,6.02
258,Inyonga,TZ,2020-09-15 02:43:07,-6.72,32.07,64.04,55,30,3.69
259,Puerto Ayora,EC,2020-09-15 02:43:07,-0.74,-90.35,66.99,90,70,5.99
260,Takoradi,GH,2020-09-15 02:43:07,4.88,-1.76,74.26,94,62,6.42
261,Puerto Colombia,CO,2020-09-15 02:43:08,10.99,-74.95,84.2,83,40,6.93
262,Thinadhoo,MV,2020-09-15 02:43:08,0.53,72.93,82.13,69,28,5.75
263,Fairbanks,US,2020-09-15 02:40:54,64.84,-147.72,51.8,76,40,3.36
264,Alofi,NU,2020-09-15 02:43:09,-19.06,-169.92,77.0,73,90,16.11
265,Shaunavon,CA,2020-09-15 02:43:09,49.65,-108.42,56.62,45,64,6.87
266,Zyryanskoye,RU,2020-09-15 02:43:09,56.83,86.63,54.05,67,72,8.39
267,San Rafael,AR,2020-09-15 02:40:34,-34.62,-68.33,56.64,34,0,9.44
268,Oktyabrskiy,RU,2020-09-15 02:43:10,54.48,53.47,46.44,88,100,11.03
269,Kingseat,GB,2020-09-15 02:43:10,56.1,-3.41,59.0,100,100,2.24
270,Brae,GB,2020-09-15 02:43:10,60.4,-1.35,53.6,100,100,3.36
271,Kenai,US,2020-09-15 02:43:11,60.55,-151.26,57.2,54,1,4.7
272,Ciudad Bolivar,VE,2020-09-15 02:43:11,8.12,-63.55,81.36,68,1,9.15
273,Zhangye,CN,2020-09-15 02:43:11,38.93,100.45,64.85,27,0,4.76
274,Borogontsy,RU,2020-09-15 02:43:12,62.67,131.17,51.13,67,90,7.96
275,Mount Isa,AU,2020-09-15 02:43:12,-20.73,139.5,87.8,19,0,14.99
276,Playa Vicente,MX,2020-09-15 02:43:12,17.83,-95.82,75.43,91,89,2.15
277,Parana,AR,2020-09-15 02:40:55,-31.73,-60.52,48.99,58,100,1.99
278,Leningradskiy,RU,2020-09-15 02:43:13,69.38,178.42,40.87,94,100,10.56
279,Burnie,AU,2020-09-15 02:38:17,-41.07,145.92,54.97,68,99,12.84
